pcode,pname,pack_name,category_id,rate_pack,rate_lose,active,in_hand
4,Bottle Dachi (Black),Pack,1,1,1,Y,-1848
5,Bottle Dachi 700 ml,Pack,1,1,1,Y,-132
6,Brake Shoe Extra Grip ZIP,Pack,1,1,1,Y,1900
7,Brake Shoe Gold ZIP,Pack,1,1,1,Y,2570
8,Camshaft JH70,Pack,1,1,1,Y,400
9,Carton Dachi,Pack,1,1,1,Y,-165
10,Chain 420-104L ODT (ZIP),Pack,1,1,1,Y,-168
11,Chain Heavy Duty 420H-104L ODT (ZIP),Pack,1,1,1,Y,-1598
12,Chain Kit ZIP 1 Box Gold,Pack,1,1,1,Y,-568
13,Chain Kit ZIP 1 Box Red,Pack,1,1,1,Y,1492
14,Chain Kit ZIP 1 Carton,Pack,1,1,1,Y,-2179
15,Focus CD 70 Double Chrome (ZIP),Pack,1,1,1,Y,0
16,Gear Transmission CD 70,Pack,1,1,1,Y,300
17,Lock C-Long 50 mm,Pack,1,1,1,Y,0
18,Oil 700 ML (Black),Pack,1,1,1,Y,-1848
19,Oil 700 ML (Red),Pack,1,1,1,Y,-132
20,Rider Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pr,Pack,1,1,1,Y,310
21,Rider Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pr,Pack,1,1,1,Y,296
22,Rocker Set CD 70,Pack,1,1,1,Y,400
23,Spoke 2.25-17,Pack,1,1,1,Y,-160
24,Spoke 2.50-17,Pack,1,1,1,Y,-1838
25,Spoke 300-17 Long Nipple,Pack,1,1,1,Y,-4867
26,Spoke/Chain Packing theli (ZIP),Pack,1,1,1,Y,2461
27,Sprocket Packing theli (ZIP) Big,Pack,1,1,1,Y,-1381
28,Sprocket Packing theli (ZIP) Small,Pack,1,1,1,Y,424
29,Sticker 700 ml Dachi Oil 700 ML,Pack,1,1,1,Y,-1980
30,Tags Dachi QR Code,Pack,1,1,1,Y,-1980
31,ZIP ATF 1L,Pack,1,1,1,Y,5
32,ZIP Battery,Pack,1,1,1,Y,0
33,ZIP Brake Shoe Gold w/o Packing,Pack,1,1,1,Y,-1316
34,ZIP Gear Oil 1 Litre,Pack,1,1,1,Y,-13
35,ZIP SF/CD 20w50 4 X 4,Pack,1,1,1,Y,0
36,ZIP SF/CD 20w50 4 X 5,Pack,1,1,1,Y,0
37,ZIP Sprocket 14-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1,1,Y,-386
38,ZIP Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1,1,Y,-1892
39,ZIP Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1,1,Y,-1892
40,ZIP Sprocket 41-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1,1,Y,-906
41,Lock C-Long 30 mm,Pack,1,1,1,Y,29
42,Fuel Cock With Key,Pack,1,1,1,Y,0
43,Dachi Engine Oil 700 ML (Red Bottle),Pack,1,1,1,Y,0
44,Dachi Engine Oil 700 ML Carton (BLACK),Pack,1,1,1,Y,10
45,Dachi Engine Oil 700 ML Carton (RED),Pack,1,1,1,Y,0
46,ZIP 1 CHAIN KIT GOLD 38-15 CD-70,Pack,1,1,1,Y,-2049
47,ZIP 1 CHAIN KIT RED 38-15 CD-70,Pack,1,1,1,Y,19
48,ZIP 1 CHAIN KIT RED 41-14 CD-70,Pack,1,1,1,Y,50
49,ZIP Spoke 2.25-17,Pack,1,1,1,Y,120
50,ZIP Spoke 2.50-17,Pack,1,1,1,Y,1533
51,ZIP Spoke 300-17 Long Nipple,Pack,21,1,1,Y,-1333
52,Piston Kit STD,Pack,1,1,1,Y,119
53,Piston Kit 0.50,Pack,1,1,1,Y,0
54,Piston Kit 1.00,Pack,1,1,1,Y,0
55,Piston Kit 1.50,Pack,1,1,1,Y,0
57,ZIP 1 CHAIN KIT Gold 41-14 CD-70,Pack,21,1,1,Y,28
58,c,Pack,,1,1,Y,0
59,Packing Chain Cover 0.6 mm (ZIP),Pack,21,1,1,Y,-99
60,CHAIN COVER 0.6MM ZIP 1,Pack,21,1,1,Y,225
61,Carburetor PZ-22,Pack,1,1,1,Y,-1107
63,POLY BAG CLUTCH PLATE CD-70,Pack,1,1,1,Y,-838
64,Clutch presur plate set zip 1,Pack,1,1,1,Y,196
65,Clutch plate FCC CD-70 Set,Pack,1,1,1,Y,0
66,Clutch plate CD-70 Green Set,Pack,1,1,1,Y,-1111
67,ZIP Chain cover 0.6mm,Pack,1,1,1,Y,0
68,Carburetor Box (ZIP),Pack,1,1,1,Y,-1537
69,ZIP Carburetor PZ-22,Pack,1,1,1,Y,1080
70,Packing Clutch Plate/ Pressure Plate CD-70 (ZIP 1),Pack,1,1,1,Y,3358
71,ZIP 1 Clutch Plate Set CD-70 Green,Pack,1,1,1,Y,1978
72,ZIP 1 Sprocket 38-T 125-CC FINE BLANKING (01 SHOT) BLACK POW,Pack,1,1,1,Y,50
73,ZIP 1 Sprocket 15-T 125CC FINE BLANKING (01 SHOT) BLACK POWD,Pack,1,1,1,Y,50
74,"CHAIN 428H 100-L (HEAVY DUTY) (ZIP)	 ",Pack,1,1,1,Y,50
75,"ZIP 1 Sprocket 45T YBR HOBBING + BLACK POWDER COATING ",Pack,1,1,1,Y,10
76,"ZIP 1 Sprocket 14-T YBR HOBBING + BLACK POWDER COATING ",Pack,1,1,1,Y,10
77,"CHAIN 428H 118-L (HEAVY DUTY) (ZIP)	 ",Pack,1,1,1,Y,20
78,ZIP 1 Sprocket 43-T SUZUKI JS 150CC HOBBING + BLACK POWDER,Pack,1,1,1,Y,10
79,ZIP 1 Sprocket 15-T SUZUKI JS 150CC HOBBING + BLACK POWDER,Pack,1,1,1,Y,10
80,ZIP 1 Sprocket 43-T PRIDOR 100CC HOBBING + BLACK POWDER COAT,Pack,1,1,1,Y,20
81,ZIP 1 Sprocket 14-T PRIDOR 100CC HOBBING + BLACK POWDER COAT,Pack,1,1,1,Y,20
82,"CHAIN 428H 108-L (HEAVY DUTY) (ZIP)	 ",Pack,1,1,1,Y,20
83,ZIP 1 Sprocket 35-T SUZUKI 110CC HOBBING + BLACK POWDER COAT,Pack,1,1,1,Y,20
84,ZIP 1 Sprocket 14-T SUZUKI 110CC HOBBING + BLACK POWDER COAT,Pack,1,1,1,Y,20
85,CHAIN 428H 104-L (HEAVY DUTY) (ZIP),Pack,1,1,1,Y,20
86,ZIP 1 GOLD CHAIN KIT CG-125,Pack,1,1,1,Y,-220
87,ZIP 1 GOLD CHAIN KIT 45-14 YBR,Pack,1,1,1,Y,-5
88,ZIP 1 GOLD CHAIN KIT 43-15 SUZUKI JS 150CC,Pack,1,1,1,Y,-60
89,ZIP 1 GOLD CHAIN KIT 43-14 PRIDOR 100CC,Pack,1,1,1,Y,-20
90,ZIP 1 GOLD CHAIN KIT 35-14 SUZUKI 110CC,Pack,1,1,1,Y,-120
91,Chimta Bush CD-70,Pack,1,1,1,Y,0
92,Roller Theli (ZIP),Pack,1,1,1,Y,0
93,ZIP Chimta Bush CD-70,Pack,1,1,1,Y,-501
94, SPARK PLUG C7HSA CHINA,Pack,21,1,1,Y,170
95,ZIP 1 PUSH LOCK,Pack,21,1,1,Y,323
96,ZIP 1HEAD COMPLETE EURO,Pack,21,1,1,Y,0
97,WHEEL RIM SET,Pack,21,1,1,Y,0
98,ZIP 1 MAGNET COIL RING HERO,Pack,21,1,1,Y,33
99,ZIP 1 MAGNET COIL RING CDI 70,Pack,21,1,1,Y,880
100,ZIP 1 BRAKE SHOE FMC,Pack,1,1,1,Y,-1
101,PRESURE PLATE SET-ZIP 1,Pack,21,1,1,Y,767
102,MAGNET COMPLETE CDI-70 ZIP 1,Pack,21,1,1,Y,-169
103,SILENCER ZIP 1,Pack,21,1,1,Y,0
104,CYLINDER KIT 78CM ZIP 1,Pack,21,1,1,Y,73
105,CYLINDER KIT 72CM ZIP 1,Pack,21,1,1,Y,30
106,CYLINDER KIT 97CM ZIP 1,Pack,21,1,1,Y,99
107,BATTERY NS 40,Pack,21,1,1,Y,4
108,VALVE SEAL CHINA 70,Pack,21,1,1,Y,5240
109,HAF KIT GREEN CDI-70 ZIP 1,Pack,21,1,1,Y,451
110,HAF KIT GN5 GREEN ZIP 1,Pack,21,1,1,Y,100
111,FRONT SHOCK  JH90 ZIP 1,Pack,21,1,1,Y,73
112,FRONT SHOCK CDI70-ZIP 1,Pack,21,1,1,Y,5
113,FRONT SHOCK CDI125-ZIP 1,Pack,21,1,1,Y,4
114,REAR SHOCK JH90 BLK-ZIP 1,Pack,21,1,1,Y,10
115,REAR SHOCK JH90 RED-ZIP 1,Pack,21,1,1,Y,12
116,REAR SHOCK GENUINE TYPE RED-ZIP 1,Pack,21,1,1,Y,0
117,REAR SHOCK GENUINE TYPE BLK-ZIP 1,Pack,21,1,1,Y,-16
118,REAR SHOCK CDI-125 ZIP 1,Pack,21,1,1,Y,0
119,FRONT SHOCK JH.90 RECO STAR,Pack,21,1,1,Y,0
120,FRONT SHOCK CDI.70 RECO STAR,Pack,21,1,1,Y,42
121,REAR SHOCK JH90 BLK RECO STAR,Pack,21,1,1,Y,20
122,REAR SHOCK CDI70 BLK(H)RECO STAR,Pack,21,1,1,Y,1
123,ONLY FRY WHEEL MAGNET ZIP 1,Pack,21,1,1,Y,212
124,FRONT SHOCK CDI125 RECO STAR,Pack,21,1,1,Y,0
125,SILENCER BEST LIFE,Pack,21,1,1,Y,257
126,"CARBURETOR PZ 16""ZIP 1""",Pack,21,1,1,Y,3
127,"CHAIN COVER""5MM"" ZIP 1",Pack,21,1,1,Y,383
128,WHEEL RIM REAR,Pack,21,1,1,Y,62
129,BATTERY 12V ZIP,Pack,21,1,1,Y,4
130,WHEEL RIM FRONT,Pack,21,1,1,Y,40
131,CON ROD JH90 STAR,Pack,21,1,1,Y,0
132,CHAIN LOCK 530 LINK,Pack,21,1,1,Y,-100
133,MAGNET PLATE CDI70,Pack,21,1,1,Y,400
134,COIL PLATE COMPLETE CDI70 ZIP 1,Pack,21,1,1,Y,-18
135,CARBURETOR PZ27 CDI 125,Pack,21,1,1,Y,-2
136,PISTON GN5/STD,Pack,21,1,1,Y,200
137,PISTON CG125/50,Pack,21,1,1,Y,0
138,PISTON CG125/100,Pack,21,1,1,Y,0
139,PISTON CG125/150,Pack,21,1,1,Y,0
140,SPARK PLUG NIN C7HSA,Pack,21,1,1,Y,2100
141,FRONT SHOCK ROD JH90 ZIP 1,Pack,21,1,1,Y,57
142,REAR SHOCK JH90 RED RECO STAR,Pack,21,1,1,Y,0
143,CARBURETOR PZ22 ZIP 1,Pack,21,1,1,Y,57
144,C.D.I GUTKA COIL CDI 70 ZIP1,Pack,21,1,1,Y,805
145,CHAIN KIT 41/14 KIXX,Pack,21,1,1,Y,-50
146,CHAIN KIT 38/15 KIXX,Pack,21,1,1,Y,-170
147,PLUG COIL STAR,Pack,21,1,1,Y,0
148,FRONT SHOCK ROD CDI70 ZIP 1,Pack,21,1,1,Y,4
149,FRONT SHOCK ROD CDI125 ZIP 1,Pack,21,1,1,Y,8
150,WHEEL CHAIN KIXX 104 LINK,Pack,21,1,1,Y,220
151,SPROKET SET 38/15,Pack,21,1,1,Y,140
152,SPROKET SET 41/14,Pack,21,1,1,Y,50
153,REAR SPROKET 38T,Pack,21,1,1,Y,30
154,CARBURETOR PZ18 EURO2,Pack,21,1,1,Y,25
155,SPOKE 2X50X17 ZIP 1,Pack,21,1,1,Y,903
156,"CHAIN KIT""CG125"" MAK 4",Pack,21,1,1,Y,142
157,METER CASE LED SHINE UNIQUE ZIP1,Pack,21,1,1,Y,197
158,METER CASE LED SHINE SUPER POWER ZIP1,Pack,21,1,1,Y,130
159,METER CASE LED SHINE SUPER STAR ZIP1,Pack,21,1,1,Y,140
160,METER CASE LED SHINE HONDA ZIP1,Pack,21,1,1,Y,206
161,"METER LED SHINE""UNIQUE""ZIP1",Pack,21,1,1,Y,76
162,"METER LED SHINE""HONDA""ZIP1",Pack,21,1,1,Y,76
163,"METER LED SHINE""SUPER STAR""ZIP1",Pack,21,1,1,Y,77
164,"METER LED SHINE""SUPER POWER""ZIP1",Pack,21,1,1,Y,76
